Região,1996-01,1997-01,1998-01,1999-01,2000-01,2001-01,2002-01,2003-01,2004-01,2005-01,2006-01,2007-01,2008-01,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01
Norte,27,27,27,28,32,36,47,56,68,73,91,102,108,119,130,148,168,173,193,203,225,239
Nordeste,172,179,186,202,211,221,245,269,301,336,376,400,446,479,518,590,640,683,731,770,832,865
Sudeste,739,772,791,850,883,899,942,1003,1043,1090,1163,1219,1282,1346,1360,1466,1541,1609,1701,1766,1840,1894
Sul,191,207,219,243,260,279,318,347,377,404,444,484,516,542,580,637,677,726,781,828,880,920
Centro-Oeste,58,64,68,74,82,85,96,110,123,128,154,168,181,193,203,235,263,281,301,315,333,345
